"tagID","tagProjectID","mfgID","dateBin","type","codeset","manufacturer","model","lifespan","nomFreq","offsetFreq","period","periodSD","pulseLen","tsSg","tagDeployID","sdID","deploymentStatus","dtStart","dtEnd","tsStart","tsEnd","deferSec","speciesID","speciesName","motusScientificName","motusEnglishName","motusFrenchName","bandNumber","markerNumber","markerType","latitude","longitude","elevation","sex","age","weight","wing","tarsus","culmen","bill","head","fatScore","comments"
"26895","174","232","2017-3","ID","Lotek4","Lotek","ANTC-M4-2S","273","166.3800048828125","0.30630001425743103","5.898099899291992","0.00009999999747378752","2.5","1504721291.2592","14254","","active","2018-01-19 18:15:00 +00:00","","1516385700","","0.0","4670","Calidris canutus","Calidris canutus","Red Knot","Bécasseau maubèche","'0000249","'0000249","metal band","-52.46930000","-69.38490000","","","A","123.0","168.0","","","37.4","66.0","",""
"26896","174","233","2017-3","ID","Lotek4","Lotek","ANTC-M4-2S","273","166.3800048828125","0.20329999923706055","5.89709997177124","0.0012000000569969416","2.5","1504721291.2592","14255","","active","2018-01-19 18:55:00 +00:00","","1516388100","","0.0","4670","Calidris canutus","Calidris canutus","Red Knot","Bécasseau maubèche","'DD00320","'DD00320","metal band","-52.46930000","-69.38490000","","","A","125.0","","","","37.9","66.8","",""
"26897","174","234","2017-3","ID","Lotek4","Lotek","ANTC-M4-2S","273","166.3800048828125","0.0003000000142492354","5.898099899291992","0.00009999999747378752","2.5","1504721291.2592","14256","","active","2018-01-19 19:40:00 +00:00","","1516390800","","0.0","4670","Calidris canutus","Calidris canutus","Red Knot","Bécasseau maubèche","'DD00328","'DD00328","metal band","-52.46930000","-69.38490000","","","A","110.0","162.0","","","36.6","66.9","",""
"26899","174","236","2017-3","ID","Lotek4","Lotek","ANTC-M4-2S","273","166.3800048828125","0.20749999582767487","5.89739990234375","0.0012000000569969416","2.5","1504721291.2592","14258","","active","2018-01-19 18:24:59 +00:00","","1516386298.9999998","","0.0","4670","Calidris canutus","Calidris canutus","Red Knot","Bécasseau maubèche","'0000254","'0000254","metal band","-52.46930000","-69.38490000","","","A","122.0","142.0","","","37.0","64.0","",""
"26900","174","237","2017-3","ID","Lotek4","Lotek","ANTC-M4-2S","273","166.3800048828125","0.2304999977350235","5.897500038146973","0.0010999999940395355","2.5","1504721291.2592","14259","","active","2018-01-19 18:55:00 +00:00","","1516388100","","0.0","4670","Calidris canutus","Calidris canutus","Red Knot","Bécasseau maubèche","'DD00319","'DD00319","metal band","-52.46930000","-69.38490000","","","A","116.0","","","","38.6","67.8","",""
"26901","174","238","2017-3","ID","Lotek4","Lotek","ANTC-M4-2S","273","166.3800048828125","0.32600000500679016","5.898099899291992","0.00009999999747378752","2.5","1504721291.2592","14260","","active","2018-01-19 18:20:00 +00:00","","1516386000.0000002","","0.0","4670","Calidris canutus","Calidris canutus","Red Knot","Bécasseau maubèche","'0000252","'0000252","metal band","-52.46930000","-69.38490000","","","A","120.0","170.0","","","36.5","63.0","",""
"26902","174","239","2017-3","ID","Lotek4","Lotek","ANTC-M4-2S","273","166.3800048828125","0.2443999946117401","5.898099899291992","0.00009999999747378752","2.5","1504721291.2592","14261","","active","2018-01-19 18:58:00 +00:00","","1516388280","","0.0","4670","Calidris canutus","Calidris canutus","Red Knot","Bécasseau maubèche","'0000242","'0000242","metal band","-52.46930000","-69.38490000","","","A","122.0","168.0","","","37.3","64.6","",""
"26903","174","240","2017-3","ID","Lotek4","Lotek","ANTC-M4-2S","273","166.3800048828125","0.22200000286102295","5.898200035095215","0.00009999999747378752","2.5","1504721291.2592","14262","","active","2018-01-19 19:15:00 +00:00","","1516389300","","0.0","4670","Calidris canutus","Calidris canutus","Red Knot","Bécasseau maubèche","'DD00321","'DD00321","metal band","-52.46930000","-69.38490000","","","J","123.0","","","","33.3","63.9","",""
"26904","174","241","2017-3","ID","Lotek4","Lotek","ANTC-M4-2S","273","166.3800048828125","0.2937999963760376","5.8979997634887695","0.0000000000000010878000508080855","2.5","1504721291.2592","14263","","active","2018-01-19 19:24:59 +00:00","","1516389899","","0.0","4670","Calidris canutus","Calidris canutus","Red Knot","Bécasseau maubèche","'DD00326","'DD00326","metal band","-52.46930000","-69.38490000","","","J","123.0","165.0","","","38.7","69.3","",""
"26905","174","242","2017-3","ID","Lotek4","Lotek","ANTC-M4-2S","273","166.3800048828125","0.08129999786615372","5.898099899291992","0.00019999999494757503","2.5","1504721291.2592","14264","","active","2018-01-19 19:24:59 +00:00","","1516389899","","0.0","4670","Calidris canutus","Calidris canutus","Red Knot","Bécasseau maubèche","'DD00325","'DD00325","metal band","-52.46930000","-69.38490000","","","J","132.0","167.0","","","34.5","65.3","",""
"26906","174","243","2017-3","ID","Lotek4","Lotek","ANTC-M4-2S","273","166.3800048828125","0.22450000047683716","5.8979997634887695","0.0000000000000014043000525385224","2.5","1504721291.2592","14265","","active","2018-01-19 19:37:00 +00:00","","1516390620","","0.0","4670","Calidris canutus","Calidris canutus","Red Knot","Bécasseau maubèche","'DD00327","'DD00327","metal band","-52.46930000","-69.38490000","","","A","114.0","","","","36.1","64.9","",""
"27401","174","3","2017-4","ID","Lotek4","Lotek","NTQB-4-2","233","166.3800048828125","-0.008999999612569809","4.697000026702881","0.0000000000000010878000508080855","2.5","1510931387.2968","15432","","active","2017-12-22 13:19:00 +00:00","","1513948740","","0.0","4670","Calidris canutus","Calidris canutus","Red Knot","Bécasseau maubèche","","","","-52.46930000","-69.38490000","","","","","","","","","","","banding record for this tag not found - deployment information needs to be confirmed"
"27409","174","5","2017-4","ID","Lotek4","Lotek","ACT-626","358","166.3800048828125","1.0647000074386597","13.001500129699707","0.00009999999747378752","2.5","1512419288.6939","15647","","active","2018-01-19 18:12:00 +00:00","","1516385520.0000002","","0.0","4670","Calidris canutus","Calidris canutus","Red Knot","Bécasseau maubèche","'DD00302","'DD00302","metal band","-52.46930000","-69.38490000","","","A","125.0","","","","35.4","64.1","",""
"27409","174","5","2017-4","ID","Lotek4","Lotek","ACT-626","358","166.3800048828125","1.0647000074386597","13.001500129699707","0.00009999999747378752","2.5","1512419288.6939","15743","","terminated","2017-10-15 00:00:00 +00:00","2017-10-20 23:59:00 +00:00","1508025600","1508543940.0000002","","","","","","","","","","","","","","","","","","","","","",""
"27410","174","6","2017-4","ID","Lotek4","Lotek","ACT-626","358","166.3800048828125","0.28450000286102295","13.001399993896484","0.00009999999747378752","2.5","1512419288.6939","15648","","active","2018-01-19 18:04:00 +00:00","","1516385040.0000002","","0.0","4670","Calidris canutus","Calidris canutus","Red Knot","Bécasseau maubèche","'0000220","'0000220","metal band","-52.46930000","-69.38490000","","","","112.0","153.0","","","37.1","64.9","",""
"27411","174","7","2017-4","ID","Lotek4","Lotek","ACT-626","358","166.3800048828125","0.4142000079154968","13.001500129699707","0.00019999999494757503","2.5","1512419288.6939","15649","","active","2018-01-19 18:12:00 +00:00","","1516385520.0000002","","0.0","4670","Calidris canutus","Calidris canutus","Red Knot","Bécasseau maubèche","'DD00304","'DD00304","metal band","-52.46930000","-69.38490000","","","IMM","115.0","168.0","","","35.5","63.4","",""
"27412","174","8","2017-4","ID","Lotek4","Lotek","ACT-626","358","166.3800048828125","0.5329999923706055","13.001299858093262","0.0003000000142492354","2.5","1512419288.6939","15650","","active","2018-01-19 17:54:59 +00:00","","1516384499","","0.0","4670","Calidris canutus","Calidris canutus","Red Knot","Bécasseau maubèche","'0000216","'0000216","metal band","-52.46930000","-69.38490000","","","","117.0","160.0","","","37.4","63.7","",""
"27413","174","9","2017-4","ID","Lotek4","Lotek","ACT-626","358","166.3800048828125","-0.8274000287055969","13.00100040435791","0.0010000000474974513","2.5","1512419288.6939","15651","","active","2018-01-19 18:00:00 +00:00","","1516384800","","0.0","4670","Calidris canutus","Calidris canutus","Red Knot","Bécasseau maubèche","'0000217","'0000217","metal band","-52.46930000","-69.38490000","","","","111.0","161.0","","","38.2","67.1","",""
"27414","174","10","2017-4","ID","Lotek4","Lotek","ACT-626","358","166.3800048828125","0.2401999980211258","13.001399993896484","0.00009999999747378752","2.5","1512419288.6939","15652","","active","2018-01-19 18:06:00 +00:00","","1516385160","","0.0","4670","Calidris canutus","Calidris canutus","Red Knot","Bécasseau maubèche","'0000221","'0000221","metal band","-52.46930000","-69.38490000","","","","110.0","155.0","","","35.8","63.8","",""
"27415","174","11","2017-4","ID","Lotek4","Lotek","ACT-626","358","166.3800048828125","0.29159998893737793","13.001399993896484","0.00009999999747378752","2.5","1512419288.6939","15653","","active","2018-01-19 17:51:00 +00:00","","1516384260.0000002","","0.0","4670","Calidris canutus","Calidris canutus","Red Knot","Bécasseau maubèche","'0000215","'0000215","metal band","-52.46930000","-69.38490000","","","","128.0","167.0","","","37.0","67.3","",""
"27416","174","12","2017-4","ID","Lotek4","Lotek","ACT-626","358","166.3800048828125","-0.10199999809265137","13.001399993896484","0.00009999999747378752","2.5","1512419288.6939","15654","","active","2018-01-19 05:59:00 +00:00","","1516341540.0000002","","0.0","4600","Limosa haemastica","Limosa haemastica","Hudsonian Godwit","Barge hudsonienne","'K00064","'K00064","metal band","-52.46930000","-69.38490000","","","","219.0","214.0","","","76.3","114.1","",""
"27417","174","13","2017-4","ID","Lotek4","Lotek","ACT-626","358","166.3800048828125","0.004000000189989805","13.001399993896484","0.00009999999747378752","2.5","1512419288.6939","15655","","active","2018-01-19 17:50:00 +00:00","","1516384200","","0.0","4670","Calidris canutus","Calidris canutus","Red Knot","Bécasseau maubèche","'0000213","'0000213","metal band","-52.46930000","-69.38490000","","","","120.0","150.0","","","37.7","66.5","",""
"27417","174","13","2017-4","ID","Lotek4","Lotek","ACT-626","358","166.3800048828125","0.004000000189989805","13.001399993896484","0.00009999999747378752","2.5","1512419288.6939","15740","","terminated","2017-10-13 00:00:00 +00:00","2017-10-15 23:59:00 +00:00","1507852800","1508111940.0000002","","","","","","","","","","","","","","","","","","","","","",""
"27418","174","14","2017-4","ID","Lotek4","Lotek","ACT-626","358","166.3800048828125","-0.0997999981045723","13.001399993896484","0.00009999999747378752","2.5","1512419288.6939","15656","","active","2018-01-19 17:39:59 +00:00","","1516383598.9999998","","0.0","4670","Calidris canutus","Calidris canutus","Red Knot","Bécasseau maubèche","'0000209","'0000209","metal band","-52.46930000","-69.38490000","","","","114.0","167.0","","","36.0","65.9","",""
"27419","174","15","2017-4","ID","Lotek4","Lotek","ACT-626","358","166.3800048828125","0.2476000040769577","13.001399993896484","0.00009999999747378752","2.5","1512419288.6939","15657","","active","2018-01-19 17:45:00 +00:00","","1516383900","","0.0","4670","Calidris canutus","Calidris canutus","Red Knot","Bécasseau maubèche","'0000210","'0000210","metal band","-52.46930000","-69.38490000","","","","125.0","161.0","","","35.1","65.0","",""
"27420","174","16","2017-4","ID","Lotek4","Lotek","ACT-626","358","166.3800048828125","-0.43540000915527344","13.000900268554688","0.0010000000474974513","2.5","1512419288.6939","15658","","active","2018-01-19 17:47:59 +00:00","","1516384078.9999998","","0.0","4670","Calidris canutus","Calidris canutus","Red Knot","Bécasseau maubèche","'0000212","'0000212","metal band","-52.46930000","-69.38490000","","","","125.0","160.0","","","36.9","63.3","",""
"27421","174","17","2017-4","ID","Lotek4","Lotek","ACT-626","358","166.3800048828125","-0.06120000034570694","13.00059986114502","0.0019000000320374966","2.5","1512419288.6939","15659","","active","2018-01-19 05:20:00 +00:00","","1516339200.0000002","","0.0","4600","Limosa haemastica","Limosa haemastica","Hudsonian Godwit","Barge hudsonienne","'K000100","'K000100","metal band","-52.46930000","-69.38490000","","","","227.0","210.0","","","67.2","102.9","",""
"27422","174","18","2017-4","ID","Lotek4","Lotek","ACT-626","358","166.3800048828125","-0.05820000171661377","13.001399993896484","0.0003000000142492354","2.5","1512419288.6939","15660","","active","2018-01-19 17:20:00 +00:00","","1516382400.0000002","","0.0","4670","Calidris canutus","Calidris canutus","Red Knot","Bécasseau maubèche","'0000206","'0000206","metal band","-52.46930000","-69.38490000","","","","120.0","150.0","","","36.0","63.0","",""
"27423","174","19","2017-4","ID","Lotek4","Lotek","ACT-626","358","166.3800048828125","-0.2632000148296356","13.001500129699707","0.0000000011547000022815723","2.5","1512419288.6939","15661","","active","2018-01-19 05:20:00 +00:00","","1516339200.0000002","","0.0","4600","Limosa haemastica","Limosa haemastica","Hudsonian Godwit","Barge hudsonienne","'K00053","'K00053","metal band","-52.46930000","-69.38490000","","","","235.0","203.0","","","73.7","109.9","",""
"27424","174","20","2017-4","ID","Lotek4","Lotek","ACT-626","358","166.3800048828125","0.3555999994277954","13.001299858093262","0.00009999999747378752","2.5","1512419288.6939","15662","","active","2018-01-19 16:54:59 +00:00","","1516380898.9999998","","0.0","4670","Calidris canutus","Calidris canutus","Red Knot","Bécasseau maubèche","'0000202","'0000202","metal band","-52.46930000","-69.38490000","","","","124.0","162.0","","","35.5","64.5","",""
"27425","174","21","2017-4","ID","Lotek4","Lotek","ACT-626","358","166.3800048828125","-0.22269999980926514","13.000800132751465","0.0012000000569969416","2.5","1512419288.6939","15663","","active","2018-01-19 17:00:00 +00:00","","1516381200","","0.0","4670","Calidris canutus","Calidris canutus","Red Knot","Bécasseau maubèche","'0000203","'0000203","metal band","-52.46930000","-69.38490000","","","","126.0","166.0","","","33.9","69.8","",""
"27426","174","22","2017-4","ID","Lotek4","Lotek","ACT-626","358","166.3800048828125","-0.16740000247955322","13.001399993896484","0.00009999999747378752","2.5","1512419288.6939","15664","","active","2018-01-19 17:05:00 +00:00","","1516381500","","0.0","4670","Calidris canutus","Calidris canutus","Red Knot","Bécasseau maubèche","'0000204","'0000204","metal band","-52.46930000","-69.38490000","","","","113.0","158.0","","","32.4","62.5","",""
"27427","174","23","2017-4","ID","Lotek4","Lotek","ACT-626","358","166.3800048828125","-0.6420000195503235","13.000800132751465","0.0010000000474974513","2.5","1512419288.6939","15665","","active","2018-01-19 18:31:00 +00:00","","1516386660.0000002","","0.0","4670","Calidris canutus","Calidris canutus","Red Knot","Bécasseau maubèche","'0000231","'0000231","metal band","-52.46930000","-69.38490000","","","A","111.0","148.0","","","36.2","65.4","",""
"27428","174","24","2017-4","ID","Lotek4","Lotek","ACT-626","358","166.3800048828125","0.6776000261306763","13.001500129699707","0.000000000816499978739671","2.5","1512419288.6939","15666","","active","2018-01-19 18:15:00 +00:00","","1516385700","","0.0","4670","Calidris canutus","Calidris canutus","Red Knot","Bécasseau maubèche","'0000226","'0000226","metal band","-52.46930000","-69.38490000","","","A","121.0","171.0","","","38.5","64.9","",""
"27429","174","25","2017-4","ID","Lotek4","Lotek","ACT-626","358","166.3800048828125","-0.3370000123977661","13.001500129699707","0.00009999999747378752","2.5","1512419288.6939","15667","","active","2018-01-19 18:17:00 +00:00","","1516385820","","0.0","4670","Calidris canutus","Calidris canutus","Red Knot","Bécasseau maubèche","'0000227","'0000227","metal band","-52.46930000","-69.38490000","","","A","123.0","160.0","","","37.2","64.7","",""
"27430","174","26","2017-4","ID","Lotek4","Lotek","ACT-626","358","166.3800048828125","0.311599999666214","13.001500129699707","0.0000000004999999858590343","2.5","1512419288.6939","15668","","active","2018-01-19 18:19:00 +00:00","","1516385940","","0.0","4670","Calidris canutus","Calidris canutus","Red Knot","Bécasseau maubèche","'0000228","'0000228","metal band","-52.46930000","-69.38490000","","","A","108.0","161.0","","","35.6","63.8","",""
"27431","174","27","2017-4","ID","Lotek4","Lotek","ACT-626","358","166.3800048828125","0.07400000095367432","13.000900268554688","0.0010999999940395355","2.5","1512419288.6939","15669","","active","2018-01-19 18:38:00 +00:00","","1516387080","","0.0","4670","Calidris canutus","Calidris canutus","Red Knot","Bécasseau maubèche","'0000233","'0000233","metal band","-52.46930000","-69.38490000","","","A","108.0","152.0","","","34.0","58.7","",""
"27432","174","28","2017-4","ID","Lotek4","Lotek","ACT-626","358","166.3800048828125","-0.30649998784065247","13.000499725341797","0.0020000000949949026","2.5","1512419288.6939","15670","","active","2018-01-19 18:35:00 +00:00","","1516386900","","0.0","4670","Calidris canutus","Calidris canutus","Red Knot","Bécasseau maubèche","'DD00313","'DD00313","metal band","-52.46930000","-69.38490000","","","A","128.0","","","","38.9","64.7","",""
"27433","174","29","2017-4","ID","Lotek4","Lotek","ACT-626","358","166.3800048828125","0.5716000199317932","13.00100040435791","0.0010000000474974513","2.5","1512419288.6939","15671","","active","2018-01-19 18:07:00 +00:00","","1516385220","","0.0","4670","Calidris canutus","Calidris canutus","Red Knot","Bécasseau maubèche","'0000222","'0000222","metal band","-52.46930000","-69.38490000","","","","123.0","160.0","","","37.4","63.7","",""
"27434","174","30","2017-4","ID","Lotek4","Lotek","ACT-626","358","166.3800048828125","-0.415800005197525","13.00100040435791","0.0010000000474974513","2.5","1512419288.6939","15672","","active","2018-01-19 18:30:00 +00:00","","1516386600","","0.0","4670","Calidris canutus","Calidris canutus","Red Knot","Bécasseau maubèche","'0000230","'0000230","metal band","-52.46930000","-69.38490000","","","A","127.0","171.0","","","36.8","63.2","",""
"27435","174","31","2017-4","ID","Lotek4","Lotek","ACT-626","358","166.3800048828125","0.6177999973297119","13.001299858093262","0.00009999999747378752","2.5","1512419288.6939","15673","","active","2018-01-19 18:35:00 +00:00","","1516386900","","0.0","4670","Calidris canutus","Calidris canutus","Red Knot","Bécasseau maubèche","'DD00310","'DD00310","metal band","-52.46930000","-69.38490000","","","A","117.0","158.0","","","35.8","63.8","",""
"27436","174","32","2017-4","ID","Lotek4","Lotek","ACT-626","358","166.3800048828125","-0.3741999864578247","13.001399993896484","0.00009999999747378752","2.5","1512419288.6939","15674","","active","2018-01-19 18:24:59 +00:00","","1516386298.9999998","","0.0","4670","Calidris canutus","Calidris canutus","Red Knot","Bécasseau maubèche","'0000229","'0000229","metal band","-52.46930000","-69.38490000","","","J","135.0","161.0","","","39.0","65.5","",""
"27437","174","33","2017-4","ID","Lotek4","Lotek","ACT-626","358","166.3800048828125","-0.27239999175071716","13.000900268554688","0.0010000000474974513","2.5","1512419288.6939","15675","","active","2018-01-19 17:47:00 +00:00","","1516384020","","0.0","4670","Calidris canutus","Calidris canutus","Red Knot","Bécasseau maubèche","'0000211","'0000211","metal band","-52.46930000","-69.38490000","","","","118.0","152.0","","","39.0","63.6","",""
"27438","174","34","2017-4","ID","Lotek4","Lotek","ACT-626","358","166.3800048828125","-0.49559998512268066","13.000800132751465","0.0010000000474974513","2.5","1512419288.6939","15676","","active","2018-01-19 18:12:00 +00:00","","1516385520.0000002","","0.0","4670","Calidris canutus","Calidris canutus","Red Knot","Bécasseau maubèche","'0000224","'0000224","metal band","-52.46930000","-69.38490000","","","","107.0","150.0","","","35.0","65.0","",""
"27439","174","35","2017-4","ID","Lotek4","Lotek","ACT-626","358","166.3800048828125","-0.07500000298023224","13.000800132751465","0.0010000000474974513","2.5","1512419288.6939","15677","","active","2018-01-19 18:22:00 +00:00","","1516386120","","0.0","4670","Calidris canutus","Calidris canutus","Red Knot","Bécasseau maubèche","'DD00307","'DD00307","metal band","-52.46930000","-69.38490000","","","J","132.0","160.0","","","35.3","64.5","",""
"27440","174","36","2017-4","ID","Lotek4","Lotek","ACT-626","358","166.3800048828125","0.18379999697208405","13.001299858093262","0.0003000000142492354","2.5","1512419288.6939","15678","","active","2018-01-19 18:00:59 +00:00","","1516384859","","0.0","4670","Calidris canutus","Calidris canutus","Red Knot","Bécasseau maubèche","'0000218","'0000218","metal band","-52.46930000","-69.38490000","","","","131.0","162.0","","","39.9","66.0","",""
"27441","174","37","2017-4","ID","Lotek4","Lotek","ACT-626","358","166.3800048828125","-0.1509999930858612","13.000300407409668","0.0020000000949949026","2.5","1512419288.6939","15679","","active","2018-01-19 18:10:00 +00:00","","1516385400","","0.0","4670","Calidris canutus","Calidris canutus","Red Knot","Bécasseau maubèche","'0000223","'0000223","metal band","-52.46930000","-69.38490000","","","","112.0","159.0","","","37.2","62.3","",""
"27442","174","38","2017-4","ID","Lotek4","Lotek","ACT-626","358","166.3800048828125","-0.9819999933242798","13.00160026550293","0.00009999999747378752","2.5","1512419288.6939","15680","","active","2018-01-19 18:21:00 +00:00","","1516386060","","0.0","4670","Calidris canutus","Calidris canutus","Red Knot","Bécasseau maubèche","'DD00305","'DD00305","metal band","-52.46930000","-69.38490000","","","A","109.0","","","","34.2","63.4","",""
